What does “academic success” mean to you?,How would you describe your academic goals right now?,How would you describe your academic goals right now?,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Family,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Professors/Advisors/Mentors,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Friends/Peers,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - School culture,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Community expectations,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Social Media,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Career goals,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Individual experiences,Do you ever feel pressure to succeed academically?,Where does that academic pressure come from?,Where does that academic pressure come from?,Why do you NOT feel pressure to succeed academically?,How does that pressure make you feel?,How does that pressure make you feel?,Do you feel like you have the resources and support you need to achieve academic success?,Why do you feel this way?,Why not?,Does the amount of resources available to you effect how others see your academic potential?,"If you did not do well academically, how much do you think it would effect your future?","OPTIONAL: In what ways, specifically, would this effect your future?",How do you usually feel when you do well in school?,What about when you struggle academically? How do you feel then?,What are you proud of from your most recent school year?,What year of college are you currently in?,What type of school do you go to?,Are you receiving financial aid?,"Thinking back to high school, was the college you are currently attending one of your top three choices?","In high school, where would you situate yourself from an academic standpoint?",Is your current career ambitions the same as you had envisioned in high school?,Is there anything else you would like to share?,"Think of this ladder as representing where people stand in the United States. 
The ladder has 10 rungs. At the top of the ladder are the people who are the best off – those who have the most money, the most education, and the most respected jobs. At the bottom are the people who are the worst off – those who have the least money, least education, the least respected jobs, or no job. 

      

      Now think about your family.
Indicate the rung where you think you stand at this time in your life relative to other people in the United States.","Think of this ladder as representing where people stand in their communities. 
The ladder has 10 rungs. People define community in different ways; please define it in whatever way is most meaningful to you. At the top of the ladder are people who have the highest standing in their community. At the bottom are the people who have the lowest standing in their community. 


      Where would you place yourself on this ladder?
Indicate the rung that best represents where you would be on this ladder."
Academic success is thriving and making high marks.,"Getting good grades,Career preparation,Time management,Extracurriculars/Clubs,Internships/co-ops",,8,4,3,6,2,1,5,7,Yes,Family,,,Both,,Yes,I attend Furman University so there's a lot of departments such as the Career Center for Student Engagement,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,It may be harder to get jobs with a lower GPA,"Happy,Gratified,Stressed","Annoyed,Anxious,Nervous","Performance in sports,Time management,Attaining top grades,Awards/Recognition",Second year or equivalent,Private institution,Yes,Yes,Top 50% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",N/A.,8,9
To be successful in academic life ,"Getting good grades,Time management",,7,1,8,2,4,3,5,6,Yes,Culture,,,Stressed,,Like somewhat,I dont have the support i always need,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",About the same,"Im
Not sure","Anxious,Stressed","Confused,Annoyed,Angry","Major assignments,Balancing stress",Third year or equivalent,Public institution,Yes,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,1,1
Getting good grades while passing all my classes. Graduating eventually,Getting good grades,,5,4,7,6,2,3,8,1,Maybe,,,,Stressed,,Like somewhat,Sometimes I feel like my teachers are not there for me. ,,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Somewhat more,I would be making less money and have less career opportunities. ,Relieved,Annoyed,Time management,Fourth year of equivalent,Online institution,No,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,2,2
Working your hardest on your class work and being able to take something from each class you take,Grad/professional school preparation,,1,5,4,7,6,8,2,3,Yes,Family,,,Both,,Yes,I think there are so many external resources available to people now a days there's really no reason anyone should feel like they lack resources.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,"It would not only hurt my GPA which could affect jobs, but also hurt my confidence in my knowledge.","Happy,Relieved,Gratified,Proud",Stressed,"Performance in sports,Balancing stress,Awards/Recognition,Independent Studies/Passion Projects,Extracurriculars/Clubs,Internship/Career-oriented work",I am currently not in college,Private institution,Yes,Yes,Top 25% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,5,6
It means succeeding at academic goals in a timely manner,Pursuing knowledge/answers,,4,7,3,5,6,8,2,1,Yes,Myself,,,Both,,Yes,Because I have the tools and knowledge needed to succeed,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,It would limit opportunities for jobs and future careers,"Happy,Relieved,Proud","Annoyed,Stressed,Anxious,Nervous",Attaining top grades,I am currently not in college,Public institution,Yes,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,3,3
"At this point in my academic pursuits, just passing all my classes and getting the degree is the most important goal.  I am burnt out of writing papers, regurgitating information, while still trying to enjoy the learning process.  Frankly, post-graduation, an employer will never ask what grade I got in Psych 101.  But for me, taking what I can educationally from the class, regardless of grades, is much more important.  Ultimately the final degree is the end goal in terms of success, but enjoying the learning process is how you arrive to that point. ","Career preparation,Pursuing knowledge/answers,Other","At this point, not dropping out is the most important.  The loan load is ridiculous, and I'm going into a field (Emergency Management) that has an unsure future, after looking at the ongoing demise of FEMA.  Job prospects have dropped off the cliff across the board, locally to federally.  Why pursue and go even deeper into debt for an education that isn't going to help with employment?",4,3,5,6,7,8,1,2,Yes,Career Goals,,,Stressed,,No,,"Even finding an internship at this point on my own as well as with the school resources has come to a standstill.  There's nothing the school can do about that, so it's no fault of their own.  The career office used to be a goldmine of job opportunities, but even those are few and far between, even taking into consideration of relocating in other states for a job after graduation.  Again, it's not their fault, just a train wreck of an economy going off the rails nationally.","Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",About the same,My GPA would reflect to employers how I did in school when job seeking.  ,"Relieved,Stressed,Confused","Confused,Stressed,Anxious,Stuck",Nothing on this list stands out,Fourth year of equivalent,Private institution,Yes,No,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,3,3
Fully grasping the subject matter and Application,"Getting good grades,Pursuing knowledge/answers",,3,2,5,4,6,8,7,1,Maybe,,,,Motivated,,Yes,I’ve always been relatively good in college and I feel like I’ve always tried to apply myself as best as possible,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,Feel like I won’t be able to land the positions that I want to,"Happy,Relieved","Confused,Annoyed,Angry,Stressed","Tests,Attaining top grades",Second year or equivalent,Public institution,Yes,No,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,8,8
Being able to prove that you are learning the material that you are being taught in your courses.,"Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,8,2,1,5,7,6,3,4,Yes,Myself,,,Both,,Like somewhat,"Because I believe I can be successful if I am provided the material necessary, but I can’t guarantee that I am currently provided the materials or that I will be in the future.",,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,"I think I personally would be less successful on my own, but I also don’t know for sure because I have almost always been provided with the adequate resources.","Happy,Relieved,Gratified,Proud","Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Tests,Major assignments,Awards/Recognition",First year or equivalent,Public institution,I do not know,Yes,I cannot remember,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,8,4
Working hard at your studies and excelling in college or beyond.,"Getting good grades,Time management,Balancing stress",,3,4,5,2,6,8,7,1,Yes,Myself,,,Stressed,,No,,I’m poor and have a child with angelman syndrome who requires a lot of care. I’m tired.,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Much more,I need to make enough money to take care of my son. I either need to move somewhere with more resources (floridas are the worst) or just make enough to pay for what he needs.,"Anxious,Stressed","Angry,Stressed,Stuck",Nothing on this list stands out,First year or equivalent,Public institution,Yes,No,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",I wanted to play music. Now I’m going to school for CS to make money and no idea if that’s even viable anymore.,2,2
Academic success means excelling in my classes.,"Career preparation,Time management",,1,4,3,2,5,6,7,8,Yes,Myself,,,Motivated,,Yes,I have people I can talk to about my stress.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,It would affect which jobs I could get.,"Happy,Relieved","Stressed,Anxious,Nervous","Balancing stress,Awards/Recognition",Fourth year of equivalent,Public institution,No,Yes,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",No,9,9
"Getting A's or B's, maybe the occasional C for a tough class.",Career preparation,,3,4,7,5,6,8,1,2,Probably yes,Myself,,,Both,,Like somewhat,It depends on the course and how I'm feeling at a particular time.,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,My opportunities would be less so I believe. ,"Relieved,Gratified,Proud","Annoyed,Stressed,Anxious,Nervous",Nothing on this list stands out,Second year or equivalent,Community college,No,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,6,4
It means learning and maintaining high grades.,"Getting good grades,Time management,Balancing stress",,4,3,5,6,7,8,1,2,No,,,I generally do pretty well anyway. If I fail I know it's not from lack of effort. ,Other,I don't feel like there is much pressure.,Yes,I don't think there's any resources I really need at the moment. ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",About the same,I wouldn't graduate and my job prospects would be far worse.,Proud,I do not relate to any of these feelings,Balancing stress,Second year or equivalent,Public institution,Yes,No,Top 25% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",I don't think so.,3,3
Academic success for me means an understanding of what your are really doing and maintaining and progress as one moves forward,"Career preparation,Time management,Balancing stress,Internships/co-ops",,3,1,6,4,7,8,2,5,Yes,Career Goals,,,Both,,Yes,Expectations from my family and school ,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,The type of job I will be getting to start of my life to financial freedom.,"Happy,Gratified,Proud,Anxious","Confused,Annoyed,Nervous,Stuck","Tests,Projects,Time management,Balancing stress,Attaining top grades,Extracurriculars/Clubs,Internship/Career-oriented work",Second year or equivalent,Online institution,Yes,Yes,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",No comments.,8,8
It means that I have achieved a comprehensive understanding of the world.,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Pursuing knowledge/answers",,2,4,5,7,6,8,3,1,Yes,Myself,,,Both,,Like somewhat,"I am a disabled student in america. I have to ask permission to take a class I am paying for, just because I can't guarentee my health. ",,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Somewhat more,"It would effect my chances into getting to grad school, which is my only real oppurtinty to get a job now that I can be discriminated against for having a disibility by employeers in the united states. ","Happy,Relieved,Gratified,Dignified,Proud","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Projects,Major assignments,Balancing stress,Impressing your parents/guardians,Awards/Recognition,Independent Studies/Passion Projects,Extracurriculars/Clubs",Fourth year of equivalent,Public institution,Yes,No,Top 25% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,7,6
Passing my courses.,"Getting good grades,Career preparation",,1,2,6,3,4,8,5,7,Yes,Family,,,Stressed,,Like somewhat,"I have contacted outside help from professionals so I feel like I have some help, but it also doesn't feel like enough.",,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Much more,"This would affect my future because I would be marked on my transcript as not passing, which does not help my GPA and future education opportunities and I would be behind other people trying to get into the same career as me.","Anxious,Stressed","Confused,Annoyed,Stressed,Anxious,Nervous,Stuck",Nothing on this list stands out,Third year or equivalent,Community college,Yes,Yes,Top 1% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school","Life is rough, I know what failure is like, but my vision has not changed.",4,3
Achieving high grades in all levels of school especially towards what you are studying,Career preparation,,5,7,4,6,3,8,1,2,Yes,Myself,,,Stressed,,Yes,"I got a good scholarship to my college, I have supportive friends and family, good professors.",,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Much more,I probably wouldn't be able to pursue the career path I want to do.,"Proud,Anxious","Angry,Stressed,Anxious","Attaining top grades,Awards/Recognition",First year or equivalent,Public institution,Yes,Yes,Top 25% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,6,6
"Academic success means gaining knowledge, achieving good grades, and developing the skills needed to reach your future goals.",Balancing stress,,1,7,8,3,4,5,2,6,Yes,Family,,,Motivated,,No,,Just dont feel now is the right time.,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat less,I think that i would have more opportunities,"Gratified,Dignified",Angry,Major assignments,Third year or equivalent,Private institution,No,No,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,5,6
Graduating with the degree that you planned for.,"Getting good grades,Time management,Balancing stress,Pursuing knowledge/answers",,2,4,7,3,5,6,8,1,Yes,Culture,,,Stressed,,Yes,"The school system allows students to have access to tutors, chrome books/iPads, and other useful resources.",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat less,The goals that I have do not require a degree.,"Happy,Relieved,Proud","Annoyed,Stressed,Stuck","Time management,Balancing stress",First year or equivalent,Community college,Yes,Yes,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",No,6,6
"Academic success generally means achieving educational goals and performing well in studies. It often involves earning high grades or test scores, mastering the curriculum, and developing a deep understanding of the subject matter. Beyond just grades, it also encompasses the development of critical thinking skills, effective study habits, problem-solving abilities, and a genuine intellectual curiosity. Ultimately, academic success prepares individuals for future educational pursuits and professional careers by equipping them with the necessary knowledge and intellectual tools.","Career preparation,Time management,Balancing stress",,3,1,5,6,7,8,2,4,Yes,Family,,,Both,,Yes,I have a support system in place to help ensure my academic success. I make a group of people that combine notes and share knowledge to improve learning,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",About the same,It would reduce the chances I might have once I'm out of school,"Happy,Relieved,Gratified,Proud","Annoyed,Stressed,Anxious","Projects,Time management,Balancing stress",Third year or equivalent,Public institution,No,Yes,Top 25% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,6,6
understanding the material thoroughly and getting good grades,"Time management,Balancing stress,Pursuing knowledge/answers",,4,2,5,3,6,7,8,1,Yes,Myself,,,Both,,Yes,because there are a lot of resources available to me through school campus as well as my family and friends and the internet. ,,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Somewhat more,i would be passed over for certain jobs,"Happy,Relieved,Gratified,Proud","Angry,Stressed,Anxious,Nervous,Stuck","Tests,Time management,Balancing stress,Impressing your parents/guardians,Attaining top grades",Second year or equivalent,Public institution,Yes,No,Top 75% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,4,5
"Academic success means to me that I have made an honest effort to complete all my the requirements for the class assigned. Although I may not achieve the highest point average, I have focused on completion and opened my mind to learn all that is placed before me. I will remain focused, motivated and self propelled to reach my final goals.","Getting good grades,Time management,Balancing stress,Pursuing knowledge/answers,Other","My goal is to finish everything I start. I am at the age of 56, this is my chance to move ahead and complete the all things I had dreamed of doing. I am successful in a sense already but getting a degree is something I have moved to the side so many times. ",2,5,3,7,6,8,4,1,No,,,The pressure I feel comes from within me. No one else pressures me. I have had a career and even without this i know money does not equal success. No pressure just motivation.,Motivated,,Yes,I have children that are self sufficient. My grandkids are here and don't require as much as a baby so this opens me up to be able to do my assignments uninterrupted.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",About the same,"This educational opportunity is not indicative of my current social status. i have 40 years of employment already and this is for me, not for future employment.","Happy,Relieved,Gratified,Proud","Annoyed,Stuck","Tests,Independent Studies/Passion Projects",Third year or equivalent,Private institution,Yes,No,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",I graduated high school in 1986 so I have a whole new perspective on my future. ,7,7
"Academic success means learning the subject, but with actual learning, not just memorization.",Grad/professional school preparation,,4,3,7,8,5,6,2,1,Yes,Career Goals,,,Both,,Like somewhat,"I wish I had more resources to use that can benefit me in my academic success, but it is fine for now. I will really need the resources when I am in grad school.",,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Somewhat more,Colleges take in GPA and different test scores to check if you are eligible to be admitted into their college.,Relieved,"Confused,Annoyed,Stressed",Projects,Fourth year of equivalent,Public institution,Yes,No,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",N/A,5,5
Graduating with the degree I am working towards,"Getting good grades,Career preparation,Pursuing knowledge/answers",,2,4,5,6,7,8,1,3,Yes,Myself,,,Both,,Like somewhat,I am older than most of the people in my classes. I think programs are more geared towards the younger adults.,,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Somewhat more,"It would take longer for me to graduate. I am older with a family to support so I do not have time to ""play around"".","Happy,Relieved,Gratified,Proud","Confused,Annoyed,Stressed,Anxious,Stuck","Time management,Balancing stress,Attaining top grades",Second year or equivalent,Online institution,No,No,I cannot remember,"NO, my career ambitions have changed A LOT from when I was in high school",,3,4
"Fulfilling my goal of learning to the best of my ability, and becoming a thoughtful, knowledgeable citizen of the world. ","Time management,Pursuing knowledge/answers",,7,5,2,3,4,6,8,1,Maybe,,,,Both,,Like somewhat,"I'm not financially well off like some of my peers. After receiving a few scholarships, my confidence to pay for academia has increased dramatically. With the cuts to higher education though with the Trump administration, I know that my support may soon come to an end sooner than later. ",,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",About the same,I'd still be motivated by engaging intellectually as a student of the world despite my academic failings.,No difference in feeling,Annoyed,"Projects,Independent Studies/Passion Projects",Second year or equivalent,Community college,Yes,No,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,4,6
"Getting good grades: Overall, intelligence in school, then get a good job for the traditional careers such as engineers, doctors etc.",Getting good grades,,2,4,5,1,3,8,6,7,Yes,Family,,,Both,,No,,"Coming from a low income household, I had to wait until I was 28 to enroll for college because my parents could not afford it.. My family depends on my success to make life better for them.","No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Much more,"Good grades get you into good colleges then good companies for internships and career development which basically translates to a good salary(financial freedom). Alternatively, if you are very smart you can get scholarships which help pay for grad school and eventually an academic career. I am not athletic. I do not engage in sports because the other path to success is professional athletics e.g. football. I do not have that luxury.",Happy,"Annoyed,Angry,Stressed",Impressing your parents/guardians,Second year or equivalent,Public institution,No,No,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",n/a,4,4
doing well in your academics and graduating to  another  level,Career preparation,,6,2,4,5,7,8,1,3,Yes,Career Goals,,,Motivated,,Yes,because I want to accomplish my purpose,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,Finincially,Proud,Annoyed,Awards/Recognition,Fourth year of equivalent,Public institution,Yes,Yes,Top 50% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,8,8
It means to strive and acheive the best grades and to absorb and retain the knowledge you gain.,"Getting good grades,Time management,Balancing stress,Pursuing knowledge/answers",,1,6,2,7,8,5,3,4,Yes,Family,,,Both,,Yes,I have my family to back me up and my friends to help support and guide me along the way.,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,I can hinder my progression in my future career,"Happy,Relieved,Proud","Annoyed,Angry,Stressed,Anxious","Tests,Projects,Major assignments,Time management,Balancing stress",Third year or equivalent,Private institution,Yes,,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",not at this time,8,5
Getting a good enough grade to get into a master's program.,"Getting good grades,Career preparation,Grad/professional school preparation,Pursuing knowledge/answers",,6,3,5,4,7,8,1,2,Yes,Myself,,,Both,,Yes,"The classes I take aren't that hard, mentally or course work/time commitment wise, but even if I somehow couldn't manage them my school has tutors that could teach me one on one until I understand the material.",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,"I assume if you barely skirt by for your bachelors schools won't bother taking you in for the harder masters thinking there's no way you could finish it as an underachiever, meaning I would be essentially permanently locked into only having a bachelors for the rest of my life.",No difference in feeling,Stressed,Tests,Third year or equivalent,Private institution,Yes,Yes,None of these choices are applicable to me,"NO, my career ambitions have changed A LOT from when I was in high school","My high school grades were all D's and F's, but I grew up and realized I didn't want to do manual labor for the rest of my life so now I just buckle in and get my A's (and the occasional B).",2,2
Progressing in a timely manner with good grades.,"Getting good grades,Time management",,1,3,5,6,4,7,2,8,Yes,Family,,,Stressed,,Yes,I know the exact steps to take and how to achieve my goal,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Much more,financially,"Happy,Relieved,Proud","Annoyed,Stressed,Anxious,Nervous,Stuck","Projects,Impressing your parents/guardians,Internship/Career-oriented work",Fourth year of equivalent,Public institution,No,Yes,Top 75% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,5,6
You were very good in school and you had good grades,"Getting good grades,Grad/professional school preparation,Pursuing knowledge/answers",,1,2,4,3,8,6,7,5,Yes,Family,,,Both,,Yes,My family supports me very much .  I also have support from teachers,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Much more,"If I do not do well,l it will make it nearly impossible to get into grad school","Happy,Relieved,Proud","Stressed,Anxious","Tests,Projects,Major assignments,Attaining top grades",Fourth year of equivalent,Public institution,Yes,Yes,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school","No, not at this time",7,7
Graduating with a good GPA,"Getting good grades,Time management",,2,7,6,4,1,8,3,5,Yes,Career Goals,,,Both,,Yes,I have a very supportive family and my boss is also very supportive in making sure I have time to study. ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much less,"If I can't graduate, then I would have to pay back my tuition that my work is paying, so it would be a big financial stressor. ","Dignified,Proud","Annoyed,Stressed","Projects,Time management",Fourth year of equivalent,Public institution,No,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,5,5
it means being able to understand knowledge,Pursuing knowledge/answers,,1,5,2,3,4,6,7,8,Yes,Career Goals,,,Stressed,,Yes,i have money to buy textbooks,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,i cant get good jobs,Relieved,Annoyed,Projects,Fourth year of equivalent,Public institution,Yes,Yes,Top 25% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",none,6,6
"It means to not only get good grades, but to understand the material and know what each part means in the greater picture.","Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops",,1,2,5,6,8,7,3,4,Yes,Career Goals,,,Both,,Like somewhat,"I feel like there's people to help me, but at the same time the pressure is still weighing on me.",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,"I think people would not have as much faith in me as they do now, mostly because my prowess is in my academics.","Relieved,Gratified,Proud,Stressed","Annoyed,Angry,Stressed,Anxious,Stuck","Projects,Time management,Extracurriculars/Clubs,Internship/Career-oriented work",Second year or equivalent,Public institution,No,,Top 25% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,7,6
Completing my bachelors would be academic success to me.,"Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,3,5,8,6,4,7,1,2,Yes,Myself,,,Both,,Yes,I technically have everything i need to be academically successful. ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,"I wouldn't be eligible for as many jobs, not even in the same job tier.  Getting my degree should make a huge difference in job prospects.","Happy,Relieved","Stressed,Anxious","Tests,Major assignments,Independent Studies/Passion Projects",Second year or equivalent,Online institution,Yes,No,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,4,5
it means being able to obtain your goals and making good grades and ensuring that you are on the right track to obtain the career of your dreams.,"Getting good grades,Career preparation,Internships/co-ops,Pursuing knowledge/answers",,5,3,6,4,7,8,1,2,No,,,Because I am just going with the flow I do what I need to do to be sure I am on the right track. I don't have anybody jumping down my throat about what needs to be done. I am doing things on my own.,Motivated,,Yes,Because my school has all the resources needed to make sure that I am understanding my courses/curriculums. I have tutoring available and the option to chat with my peers or professors for assistance.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",About the same,"It would mean I got in debt for no reason with going to school and not finishing what I am suppose to, I have kids watching me so if they see I am not making the effort they might try and do the same.","Happy,Dignified","Stressed,Stuck","Projects,Major assignments",Fourth year of equivalent,Online institution,Yes,No,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,7,7
Achieving your academic goals,Other,Career prep,8,2,3,7,4,6,5,1,Yes,Culture,,,Stressed,,Yes,Tutoring and help is available ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,You’ll question your ability ,Relieved,Stressed,Time management,Third year or equivalent,Public institution,Yes,Yes,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",No,5,4
Getting an acceptable grade by my standards.,"Getting good grades,Internships/co-ops",,1,5,6,7,4,8,3,2,Yes,Myself,,,Both,,Yes,I feel that I am able to rely on myself and also have the ability to talk to my instructors if needed.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,I would be seen as less prestigious and may need to work harder to find employment.,"Happy,Proud","Angry,Stressed,Stuck","Tests,Major assignments,Attaining top grades",Third year or equivalent,Public institution,No,Yes,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,7,7
