definition,academicgoals,describeacademicgoals,resourceswhy,futureimpact
Getting as close to a 4.0 as possible because otherwise I didn't truly understand the material,"Getting good grades,Time management,Balancing stress,Pursuing knowledge/answers",,"Lot of tutoring opportunities and learning resources out there, just have to use them and balance with my free time",No intern opportunities in school to prepare myself for post school careers
It means fulfilling my expectations for my grades and how I understand my work,"Getting good grades,Career preparation,Grad/professional school preparation",,I have a lot of financial stress that worries me,I think it would effect how much pay I would receive and who would be willing to hire me.
"staying on task, getting good grades, learning the material , being able to retain the material, getting something out of it. ","Getting good grades,Time management,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,"my school gives them, and i have enough drive to push myself through",i might not be able to get into grad school which would affect my career options in the future
"Doing well in all my classes, studying, actually learning and retaining material.","Career preparation,Time management,Pursuing knowledge/answers",,I have all the resources needed for me to attempt all my classes to the best of my ability.,I think not doing well in my classes would directly affect my future career prospects.
Doing good in school and learning the content,"Getting good grades,Grad/professional school preparation,Internships/co-ops",,There are a lot of free and different resources ,It would be harder to get a job and less pay 
"Doing well in my classes, passing all of them, doing well in my clubs, maintaining a good GPA, and overall doing well in school.","Getting good grades,Career preparation,Extracurriculars/Clubs,Internships/co-ops",,I have a lot of resources available but I don't always know how to use them most effectively.,I would not be able to get a good job after I graduate.
Academic success to me is managing my courseload effectively with my extracurricular activities as well as with my current employment. ,"Getting good grades,Career preparation,Balancing stress,Extracurriculars/Clubs,Pursuing knowledge/answers",,I feel as though the resources are available to me but my ability to capitalize on them is marred by self-doubt and insecurity. ,"I feel as though it will limit my ability to appeal to future employers, and to go a step further, may leave me unprepared to effectively perform my role in my future employment. "
This means getting good grades and impacting knowledge,"Getting good grades,Career preparation,Time management,Balancing stress",,"I feel i am in a good school with supportive parents, so the perfect environment",it will be more difficult to get jobs with low grades
To me academic success means excelling academically and reaching your goals.,"Getting good grades,Career preparation,Time management,Extracurriculars/Clubs,Internships/co-ops,Pursuing knowledge/answers",,"I have a fear of being ""left behind"" by my peers. For example, not graduating on time with the rest of my class.","I think that if I didn't succeed academically despite having a great support system, I don't think that I would have anything to fall back on. So, it is really important that I succeed academically to be able to achieve my career goals."
Academic success to me means to excel in the academic field that one is currently studying.,"Career preparation,Time management,Pursuing knowledge/answers",,I feel that everyone in my life is supporting me and my growth as pursue my studies.,I think certain post grad opportunities would not be possibly if I do not do well academically.
"it means excelling in your studies, maintaining  a steady gpa and graduating with a good CGPA","Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Pursuing knowledge/answers",,,"less it wouldn't affect my future, i can always be successful after college"
It means to get good grades,"Getting good grades,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation",,I feel that I am not always given enough information on topics and am expected to fully figure it out on my own.,I would possibly not be able to get into Dental school which would affect my future career goals.
Academic success means maintaining good grades while living your life happily.,"Getting good grades,Time management,Internships/co-ops",,I have everything I need to be successful. I just have to put the work in.,Not doing well academically will make everything in my future harder.
Getting into the programs I want + getting the degree + getting out,"Getting good grades,Grad/professional school preparation",,"College is not very difficult, it's just expensive in time and money","Couldn't do the career I want, would be more depressed, but would be materially fine"
Learning new things and really expanding your current knowledge level. Keep moving economically forward in a positive direction. ,"Time management,Balancing stress,Pursuing knowledge/answers",,I have all the tools at hand and am able to obtain whatever I need to succeed. ,Not learning lots of new traits and skills would for sure impact my work future. It plays a major role overall. 
It means passing and understanding all of the content in a course,"Career preparation,Internships/co-ops,Pursuing knowledge/answers",,Because my academic career has been successful thus far and my resources have not changed,"I suppose if I don't pass one of my graduate classes, it might make me a less attractive job candidate "
"Getting average to above-average grades, working hard on learning, and setting future goals for after graduation.","Getting good grades,Career preparation,Internships/co-ops",,I have many on-campus resources to help me if I need extra advice or someone to help me understand a project or assignment better.,"If my work is not up to standard for school, then it would not be up to standard for employers, and I would have a harder time getting internships/jobs."
Academic success mean graduating college with a degree and a decent GPA.,"Career preparation,Time management,Pursuing knowledge/answers",,I beleieve have the respurces I need to achieve success because I am currently pursuing my second bachelor's degree so I know where and who to reach out to if help is needed.,I most likely wouldn't be able to land the job/career I want without the degree.
it means getting good gradea,"Getting good grades,Career preparation,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops",,i feel like a failure sometimes,i wouldn't get into PA school
"Academic success just means succeeding academically, such as getting good grades, getting a degree, or receiving academic awards.","Getting good grades,Career preparation",,"I have resources available, such as financial aid and other campus resources like libraries, but the emotional support from my family mostly causes more pressure for me.",This would affect my ability to get a job that suits my needs.
being successful in what works best for you and not others.,"Career preparation,Balancing stress,Extracurriculars/Clubs",,,A lot of jobs I am applying for want this realistic GPA that I don't have so I am limited.
"Academic Success to me is just about the grades in my opinion. MY standard of success is just ""passing grades"" so C's and up. As long as you are on track to graduate, you are successful. ",Getting good grades,,"I have education coaches, and counselors that offer me resources to succeed.","I'm already in my career, if I get a degree it will just give me an opportunity to change my career. So school isn't really going to mean that my life style will deteriorate if I fail. And if I succeed there's no telling whether or not it will change my life.  "
"getting good grades, progressing through school years, and understanding the material.","Getting good grades,Career preparation,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,"Class is tough, college is extremely difficult and stressful (especially for an engineer),  so if I don't do well, i feel like i let myself down.","i likely wouldnt be able to get a job in my field, and would be much harder to make a comfortable living after all of my student loan debt"
"Maintaining good grades and a high GPA, and completing my degree programs. ",Getting good grades,,"I have scholarships and award money to pay for school, so I only have to worry about succeeding in my classes and obtaining my degrees. ","My job prospects would be very limited, and I would likely make way less money in my career compared to if I was successful in school. "
graduating SCHOOL,Other,Get through  school and get my degree,It is just how i am,My knowledge in my degree
Building skills and opportunities for my future,"Getting good grades,Balancing stress,Grad/professional school preparation",,I have a lot of things going on in my life and I feel like I have sufficient opportunities and people I can rely on,I would be behind in my goals
Receiving a degree,"Getting good grades,Career preparation,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,,I wouldn't graduate can't pay back loans without a degree
Showing immense growth in education and progressing to the fullest extent possible.,"Time management,Balancing stress,Pursuing knowledge/answers",,I have family and friends all of which have the mutual feeling.,Getting a job and making proper income would be horrendous. 
Being successful and passing all my academics and graduating with a degree.,"Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,"I feel this way because yes there are a lot of support to help me achieve my goals, but since we have a bigger cohort, I feel like that support is thin in the way where there are more students to faculty and I may not be able to receive the support I need all the time.",It would delay graduation and I would be much older than I wanted to be in school for.
"Being able to apply classroom studies in real life scenarios, for instance math helping during purchase calculations. ",Grad/professional school preparation,,"Having my school fees paid, getting necessary school materials like books bought.",Not getting career job thus not being able to achieve my goals in life.
It means finding  job that my academic learning has helped and led me to.,"Career preparation,Pursuing knowledge/answers",,I think it all costs so much money. I do believe I can do it though.,You have to do well academically to afford any kind of future.
"Two interpretations of it, one is the ability to get good grades, know what your teachers want from you and do that. Secondly, is to actually learn the material and gain value from your courses. The second one is more important to me, but I think most people would assume the first. ","Getting good grades,Time management,Pursuing knowledge/answers",,"I haven't run into a problem that I couldn't overcome yet, and I still have more resources I haven't used (like free tutoring, study partners, etc).","I would be starting my life out on a bad note. Sort of like how when you start your day off wrong, the whole day is off, do you want this for your life?"
Success means passing my classes but also learning new things about myself and what subjects interest me.,"Getting good grades,Pursuing knowledge/answers",,I have resources but I often find myself too anxious to use them,"As long as I at least pass my classes I think that a degree in anything is helpful for the future, I don't have to be the best student."
"It means putting in your best effort and getting good grades. Bs and As are the best, but it depends on effort.","Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,I can study and get office hours. Some times the professor is bad but all and all I should be able to achieve good grades. It just takes a lot of effort in my major.,"I would probably end up in a less impact full position. Also in my job I would get paid less, I might struggle to find a job too."
Getting grades that allow me access to my next level of education or professional career and learning.,"Career preparation,Time management,Pursuing knowledge/answers",,I have struggled with motivation in the past,It would make opportunities in competitive areas more difficult
Actively retaining information,Time management,,,
It means doing well in school but I can still balamce school life and enjoy life in general. ,"Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation",,Because I feel like I do have the support but I don't know exactly where to find it.,I think it will affect me because right now because people want to see where I was and how I handled stress. 
"A 3.5+ gpa, and actually understanding the material and being able to apply it.","Getting good grades,Career preparation,Time management,Extracurriculars/Clubs,Internships/co-ops",,My family and those around me are giving me great support.,In engineering specifically high academic achievement is a big plus.
Retaining the material and being able to use it correctly,"Getting good grades,Internships/co-ops",,The materials provided from the university are very useful,I would not have learned anything
It means that I actually complete a degree program and get as close to a 4.0 GPA as possible. It also means that I earn the respect of my teachers so they feel confident in recommending me for a job after graduation.,"Getting good grades,Career preparation,Grad/professional school preparation,Pursuing knowledge/answers",,"I have a disability, and need certain accommodations that I have not gotten at the current college. I withdrew for a semester because one teacher would not give me that accommodation.",I don't need to work or get a second degree--I am retired. My house is owned outright...so my future is stable regardless of whether I am successful in finishing this degree.
,,,,
"Academic success means the showing of excelling academically, whether it be through getting high marks or even being part of academic programs only available to those of a particular aptitude/performance ","Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops",,"I think I'm progressing from an atypical point compared to the average student, in that I'm pursuing my degree after completing a different program in hopes of getting a more sustainable and productive career out of it. Due to this, I think I'm on the backfoot in terms of progress but I have *some* means of attaining my goals","I think with the career path I've chosen to pursue now, it relies heavily on the capability to make good use of skills I would have sharpened if I had done well academically"
Graduating with a satisfactory grade and learning the materials,"Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,"It feels so difficult and helpless, but I am getting through it day by day.","Harder to make a satisfactory amount of money, harder to find jobs, harder to maintain relationships with people, a lot of self blame"
good scores,Getting good grades,,because im uncertain,this would put my future at risk
To be organized and try your hardest in studies.,"Getting good grades,Career preparation,Time management",,,Career choice
"I think academic success means gaining knowledge and skills that you can apply into your real life (real-life scenarios). Also, showing a level of dedication and persistence to obtain good study habits and not just trying to ""get things done"" is very beneficial to your long-term goals as well.","Career preparation,Internships/co-ops,Pursuing knowledge/answers",,"There's a ton of things I want to accomplish for my family, and of course, for myself, but I feel as though time is running out. You see these people around you and mainly on social media who've accomplished great things before or at your age, and makes you feel stresssed and like you need to do more. It's easy to feel discouraged but in a way, it motivates me to try harder to get where I want to be.","I currently am unemployed, so if I didn't do well academically I'd be in the same spot for essentially the rest of my life (unless I got married/came into money, etc). This would put me into a very bad spot mentally and financially; not being able to move out, not having my own things, not having certain life experiences, etc. I'd say I'm a pretty independent person (as much as I can be given my current situation), so if I wasn't able to achieve these things, I'd imagine I'd be pretty depressed/even more stressed."
Success in academics,"Getting good grades,Career preparation,Time management,Extracurriculars/Clubs,Pursuing knowledge/answers",,Bitch idk?,I wouldn't graduate? Why are we asking stupid questions 
It means getting good grades and learning the material for the future.,"Getting good grades,Career preparation,Time management,Pursuing knowledge/answers",,I have the ability to learn by using technology or resources from my college.,I would not be able to graduate and get a degree. I would not know how to perform during my career.
Academic success means that you are able to exceed your goals in an academic setting and being able to apply them for something useful/valuable (a top school/internship/job or something that is high-paying),"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Internships/co-ops,Pursuing knowledge/answers",,"My school is big and has a lot of people that have made it into big companies or have gained wealth. However, it is not a target school for a lot of industries, so it is really hard to break into certain industries (high finance, quant, etc.)",I would lose my scholarship and then would have to spend all of my effort into regaining my grades so I can afford to go to school.
"Academic success means doing well academically, which to me means actually understanding the subject matter","Getting good grades,Career preparation,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops",,I feel completely capable of achieving my academic goals,It would at the very least be significantly harder to achieve my career goals
It means getting excellent grades and continuing to move forward in my education,"Getting good grades,Time management,Grad/professional school preparation,Pursuing knowledge/answers",,,I think if I do not succeed academically at my age then I have some really hard life lessons still to learn. It would mean I have failed myself
Having great grades to pass classes on time.,"Getting good grades,Balancing stress",,Because ive always had someone in my corner when it comes to these things.,I would just have to try other ways to make it through the world no biggy.
Getting the most out of my classes,"Getting good grades,Career preparation,Grad/professional school preparation,Internships/co-ops",,There are many resources at school,How I'm seen by professors
"Getting straight A's while maintaining a good school and life balance. It's all about making sure I stay healthy and concentrate on my work, while making sure to not overdue it.","Getting good grades,Balancing stress,Internships/co-ops",,"I have no genuine support system, but I feel as If I can handle it.","I'm working towards becoming an Illustrator, regardless of status I still am an artist."
Academic success to me means getting good grades in your classes and understanding the material that is being taught.,"Getting good grades,Pursuing knowledge/answers",,"I feel this way because I can talk to my professors and they give me encouragement to pursue my academic goals, I also have family members to talk to when I have a problem and they give me a gentle push to achieve my academic goals.","If I don't do well academically, I do not have the safety net good academics provide so it would be much difficult to get the job that tailored to my major, thus, affecting my potential income."
"Performing highly in classes, getting and keeping scholarships and graduating with honors. ",Other,Supporting my children in their school. ,I have already had academic success. ,I have already achieved academic success so further education would just be for fun. 
Academic success means having the most rewarding and complete school career for yourself as a student is all facets of the term.,"Getting good grades,Career preparation,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,"I have a great support system behind me, and many close friends and family members who are willing to do whatever it takes to help.","It would have nothing but negative effects for my future, as I would not be prepared to pursue my career and goals."
Doing well in academics,Pursuing knowledge/answers,,I think I am set up with the right resources to succeed,I would have a lower paying job 
Academic success means to achieve a true understanding of the academic material and goods grades that reflect the understanding.,"Getting good grades,Time management,Balancing stress",,"I feel as if there are many resources to achieve academic success, but it mainly depends on yourself.",If I cannot pass my classes than I lose my financial aid therefore losing my means to attend school. 
it means excelling in the courses you take and getting grades you push yourself to get like As. It also means actually learning things that will be useful in your career. ,"Getting good grades,Career preparation,Extracurriculars/Clubs,Internships/co-ops",,Because I tend to think of myself as a perfectionist. ,I wouldn't have the skills to get an internship
Academic success means doing well in school and trying your best in classes and assignments.,"Getting good grades,Career preparation,Grad/professional school preparation,Pursuing knowledge/answers",,"I feel very well supported by my family, school, and peers.",I think it would be harder to get into graduate schools and land a job after graduation.
Understanding class material and getting high grades,"Career preparation,Balancing stress,Pursuing knowledge/answers",,I feel like I can succeed in my classes without much outside help,"I may need to retake classes, which would extend the amount of time I spent out of the workforce"
Learning the material and retaining the information to apply to real world work scenarios that benefit both the business and consumer.,"Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,"My school makes me feel completely supported in my academics.  Teachers open encourage students to sit in on video lectures, they are open and transparent with their office hours too","My concentration is in contracts and acquisitions. And my career goals are pursuing a job in the government. Sector for procuring contracts for the government, not doing well. In school would not help me get to that position. Because everything I'm learning in school is where world experience on government contracting acquisitions. Submitting bids, and it's a direct correlation."
Working hard to learn more,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers,Other",Graduating ,I get overwhelmed ,Less career options 
excelling not only in exam but being able to apply the learning.,"Getting good grades,Career preparation,Grad/professional school preparation,Pursuing knowledge/answers",,,
Getting an education and successfully applying what you’re going to school for or studying to your life,"Career preparation,Internships/co-ops,Pursuing knowledge/answers",,Everything is put in front of me,I wouldn’t have the same amount of knowledge and experience 
Academic success means excelling in all of your classes while maintaining a nice school life balance.,"Getting good grades,Career preparation,Time management,Grad/professional school preparation",,I know I have people to talk about my problems if I needed it.,"I am already a 5th year while all of my friends have real jobs, so I would be put behind a little farther."
Academic success means truly assimilating the information I am learning and putting forth 100% effort at all times. ,"Getting good grades,Balancing stress,Pursuing knowledge/answers",,"We are in an age where we have access to unlimited resources. It is not always easy to  achieve all of my objectives as I work full-time and have a family as well. However, it is absolutely possible with enough perseverance and taking advantage of all of the resources out there that can help. ",My career goals require that I perform at the top level academically. 
Getting good grades,"Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,Severe amounts of pressure,I wouldn't be able to continue to afford college
"It means striving for more, to learn why in school and to do well, get good grades. Typically after going to high school.","Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,I feel like there could be more offered by my college. They don't have enough councilors to see everyone as needed. It is hard to get appointments. As for professors they are always busy. I feel like a lot of it comes down to me. ,I am trying to get a degree that will open up more doors for me in careers. I'm hoping that it will help me.
Performing well in higher education,"Getting good grades,Internships/co-ops,Pursuing knowledge/answers",,I feel very fortunate to be comfortable and academically successful in my online schooling. ,I feel that it would effect my career opportunities if I did not have access to the education I do now.
doing well in school,Career preparation,,i have the support i need from my family,cant get a good job
Deans list,"Getting good grades,Extracurriculars/Clubs,Internships/co-ops",,Its hard to really gauge how successful i will be.,no law school
Absorbing the content corexrlu,Career preparation,,I feel like academic success drives how successful your job will be,Poor school performance would lead to poor job performance
The ability to learn and apply new knowledge to real world situations in an educational environment ,"Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,"I have the tools to complete the schooling, but lack guidance on how to apply them",The career field I am entering does not put as much weight to the degree as they do experience and inowledge
,,,,
Academic success means both scoring well enough by your schools metric to reach your future goals (ex applying to medical schools) and more importantly learning the material thoroughly in a wha that promotes longevity ,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,My school has great academic support and I have many friends and peers that are learning the same things I am and have different strengths ,It would affect my applications to internships and grad schools 
"Scoring well in exams and coursework, comprehending and gaining new knowledge, broadening perspectives and understanding, and becoming a citizen of the world. ","Getting good grades,Career preparation,Internships/co-ops,Pursuing knowledge/answers",,"My family is supportive of my life goals, but also set boundaries and clear expectations of what is expected of me. ","It affects my motivation, self-esteem, and confidence. I do not want to disappoint my family or loved ones, as well. "
"Academic success means being successful in your program, whether it be undergrad, postgrad, etc. Passing your degree program, not just barely making it, and actually learning something from it. ","Career preparation,Internships/co-ops,Pursuing knowledge/answers",,"I feel like many universities, friends, family, always have many different ways of providing help or resources to you in order for you to succeed and achieve academic success. Of course, each have their own way of providing it, but there is always something out there to help you. ","I wouldn't be able to finish my degree program, I would have much less of a chance to obtain a career in the field I am seeking, and would then owe a ton of money with nothing to show for it. "
Reaching the desired academic levels throughout one's life.,"Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,I have the right support system around me.,It is academic succes that made me meetmost of my social network which have proven to be important.
completing college,"Getting good grades,Time management,Balancing stress,Pursuing knowledge/answers",,"My husband, family, friends and work support my goals",No finishing my goals will not allow me to move on to another career
Striving for excellence in the school setting even if not achieving it.,"Getting good grades,Time management,Balancing stress,Extracurriculars/Clubs,Pursuing knowledge/answers",,Everything I need to be successful academically can be found online,I would be unable to get the higher up jobs that I want.
being smart and having high grades ,Getting good grades,,Family supports me ,I would get unmotivated
"Academic success means getting the degree and graduating with a good GPA. But, it also means getting that real life experience in between as well.","Career preparation,Extracurriculars/Clubs,Internships/co-ops",,"I feel this way because it's always been my goal to get a degree, get a good job and make good money. But, I feel as if it is also society pressures to be successful.",It would effect my future because what if I want to go to graduate school in the future? My grades would effect that.
"It means graduating on time, having good grades while having a decent academic-work-life balance.","Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,"Being a mostly independent student who has not had the best guidance in life during high school and my early adulthood has given me challenges that others don't have, these are not as easy to deal with as opposed to students who where given full support from their parents through their entire academic career and where given proper guidance about what to do.

I feel like I have unknowingly wasted a lot of time when I started school and that is not time I will get back and there is no undoing what has already been lost, only managing what I have left better. Taking care of myself isn't something I can sacrifice on either, but now that I am an adult. I need to work, take care of my health, pursue life goals that go beyond academics and career, and this isn't easy either. But does limit how much I can commit to academics within a day.","Not much at this point, just the date I graduate and start professional work."
To complete the course of study you chose to invest your time and energy into.,"Getting good grades,Career preparation,Pursuing knowledge/answers,Other","Right now, I aim to get a degree in creative writing, first and foremost.","It's a goal I have arrived for for a long time. I believe I have the necessary tools, direction, and mindset to see it through to the end, successful or not.","I have a couple backup plans in mind, but I won't deny that failure in my main goal pursuit would be a huge bummer."
"It means consistent excellent results starting from A grades, an overall GPA of at least a 3.7 and thriving in extracurricular activities as well.","Getting good grades,Career preparation,Time management,Balancing stress",,"I major in fashion design, so I'm not in a typical liberal arts environment where studying is emphasized for academic success and instead completing projects and showing your creativity/originality is the most important aspect to me. So I feel a different kind of pressure that definitely stresses me out if I don't manage my time very well, but grades won't define what leads to my career in the end. ","If I didn't graduate or complete my BFA in a way that is unsatisfactory to me, it will affect my confidence and self-esteem, which would limit myself from reaching opportunities. Otherwise, academic success doesn't particularly matter in pursuing my dream career. The largest obstacle would be myself. "
"Academic success means that one has excelled in their studies. The acquisition of a degree, getting good grades, or qualifying for the dean's list counts as academic success to me.","Career preparation,Time management,Balancing stress,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,"I need a therapist to address my lack of motivation and other mental issues that I have, but my family doesnt take my need for help seriously.","It would affect my ability to get a high paying, consistant job"
,,,,
"Being able to get good grades, regardless of if one learns or not","Getting good grades,Time management",,I think im mostly capable but in some classes I really struggle ,I would have less success career wise
your family not having to struggle.,"Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,I have the support system I need.,I wouldn't get into the school I want to.
,,,,
Earning the highest possible grade,Getting good grades,,,
,,,,
,,,,
Having good grades and getting a degree,"Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,I have a computer and good library to access good information. I also have professors that will aid in success,"If I had bad grades, I would not get my degree and I would not get a good job"
It means doing my greatest to learn and succeed.,"Career preparation,Time management",,I am doing my best.,I would feel demotivated.
It means getting good grades and passing all my classes,Grad/professional school preparation,,"Lots of school resources, support, and motivation from friends and family",It might make it harder to get into grad school or get good letters of recommendation 
Getting good grades in classes and graduating,"Getting good grades,Career preparation,Pursuing knowledge/answers",,"The job market is the absolute worst right now, so I feel like I need to succeed even more than usual, but the support given is no longer applicable to the current job market.",I wouldn't be able to graduate and get a job in my desired field
"Completing courses, learning, growing and preparing for a career.","Career preparation,Balancing stress,Pursuing knowledge/answers",,"I have a lot of barriers right now.  I'm homeless and have limited access to internet and quiet places to work.  It makes it hard to keep up with classes.  I don't have everything I need to perform at a high level, but I have enough to succeed.",I need this degree to get a higher paying job that will allow me to work part time and still be able to pay my bills. Not being able to complete coursework and finish my degree in a reasonable amount of time will just put me further into debt with nothing to show for it.
Is the achievement of educational goals.,"Getting good grades,Grad/professional school preparation,Pursuing knowledge/answers",,I feel that academic success could change the way I behave and interact with people. It can also open my career paths.,It would not open my career paths.
learning the material and earning a good grade,"Getting good grades,Career preparation,Time management,Pursuing knowledge/answers",,i have the internet and think that is sufficient,"It would make me a less appealiing job candidate, although this currently doesnt matter for me"
Academic success means using the opportunity and knowledge you gained to further advance your career or goals. ,"Career preparation,Time management,Balancing stress,Grad/professional school preparation",,"Even if I have the resources, if I am not right in the mind it is difficult to ask for help in the first place. ",Not having enough experience or connections to get a head start. 
"Being able to be at the top and in control of my test, homework and the school projects.","Getting good grades,Career preparation,Time management,Grad/professional school preparation,Pursuing knowledge/answers",,Like at some point i believe the necessary resources are within my reach but also at the same time they are very far away.,I would think of a career failure which translates to the weaker future or complete change
"Academic success is when a person is able to achieve their academic goals efficiently and effectively. To me, this would entail completing all coursework in a reasonable timeframe, with good grades, and with minimal stress all while being able to balance a life outside of school.","Getting good grades,Career preparation,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,I feel like I have access to most of the resources necessary to succeed but I also feel like it would take more work for me to utilize these resources compared to the average person.,Many of my plans for the future hinge upon me going to professional school and becoming a pharmacist. If I fail to succeed academically now I may not be able to go to professional school which would mean I could not become a pharmacist.
"Getting good grades, and learning things that are applicable to your future career pursuits","Getting good grades,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,Because I have the resources to manage my stress,It might be harder to get into a grad school with a good program
never failing,"Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,I'm taking lots of classes ,id be homeless
"Academic success means learning the content and doing well (i.e., grades-wise).","Getting good grades,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,,It starts me out with less career/academic confidence.
"This is meaningful growth in understanding, application and progress towards your goals and not just good grades","Time management,Balancing stress,Pursuing knowledge/answers",,I just feel like I am in the right environment for me to succeed,It might affect career opportunities and my confidence.
"Academic success to me is about getting good grades to the best of my ability and most importantly, gaining the knowledge needed to pursue my goals. ","Getting good grades,Career preparation,Time management,Grad/professional school preparation,Pursuing knowledge/answers",,"I feel pressure to succeed academically mainly because academics have always been a part of my identity since I was a child. Being seen by everyone as a gifted kid pressures me to continue succeeding academically due to fear of disappointment, This pressure also serves as motivation to work hard. ",Not being able to succeed in academics would also mean I would not be able to achieve my career goals. 
"Academic success means that I am doing well in classes. Usually, a B or above and that I'm learning and retaining all the useful information. That I'm on track toward graduating soon.","Getting good grades,Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,Because I can usually talk to someone at school or my friends. They provide the support I need.,"It would prolong my ability to get a good paying job by a few months or a year. Not very much in the long run honestly, but still."
Academic success means learning the material effectively and getting good grades on assignments and exams.,"Getting good grades,Career preparation,Pursuing knowledge/answers",,There are many resources set up by my university and in my personal life that I know I can leverage ,"I would have less opportunities and connections, and probably would have less knowledge"
"Academic success to me isn't necessarily about grades, but about how well you think you understand new topics compared to before taking the class in question.","Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Pursuing knowledge/answers",,I know I have a variety of resources available to me. The difficulty is having the confidence to ask for them.,"I would not be able to get into law school, which would throw off my entire career trajectory."
Achieving goals ,"Getting good grades,Time management,Balancing stress,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,Because my family has my back ,It effects how my outlook his 
"To me, academic success means getting the best grades and graduating with high honors. It means earning a degree and learning instead of memorizing to pass the test.","Getting good grades,Career preparation,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation",,"Because I've always done it before, but I don't know that I can afford it much longer even on scholarships.","I haven't decided between my original career choice and law school, which would be much more work and money."
I mean getting an education degree.,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,I have my family and school resources to support me. ,It would be more challenging to get a job.
"Academic success is performing well in your classes, having great test scores, and a great GPA. It can also mean obtaining degrees with a high return on investment, that will get you a good job in the future.","Balancing stress,Grad/professional school preparation",,I feel as though my family really pushes me through and also I do have the financial means in some ways,I think it could prevent me from progressing academically and furthering my education
"Academic success to me is defined as acquiring knowledge and critical thinking skills about the academic objectives outlined in a class syllabus. If it's technical oriented, then having the confidence and knowledge for the degree is important. ","Getting good grades,Career preparation,Pursuing knowledge/answers",,My college has ample tutoring and advisers for academic success ,It would require me to take more classes or seek additional guidance and mentorship 
Great grades & connections,"Getting good grades,Balancing stress,Internships/co-ops",,Well because its the only option I have tbh,
"Doing well in the scholastic world with A’s or B’s, but also having a meaningful impact in the education community around you.","Getting good grades,Career preparation,Time management,Balancing stress",,Because of my husband’s support ,Less opportunities to stand out
"Academic success to me is graduating with what you set out to do, if that’s with high honors that’s your version of it, and if you just want a certificate to get a certain job then that’s your success if you make it there, different for everyone and taking steps back and failing once doesn’t mean you can’t succeed later.","Getting good grades,Career preparation,Balancing stress,Grad/professional school preparation",,"In some ways I feel supported like my mom will help me pay for my tuition and books occasionally and online help for my classes but in other ways I feel like I’m drowning with student loans, the pressure to get a good grade, the fear that I’ll eventually fail after coming so far…all very scary.",If I don’t have academic success and finish my degrees I won’t be able to get a good career and have kids…all I want in the whole world is to have kids and I’m infertile so even if I had a partner I’d have to use IVF to have babies and I need a good salary to even remotely afford that…I can’t fail because the only thing I want in life is a huge expense and I don’t know any other way to get successful.
Being successful with your grades and outlook on your classes going forward. ,"Getting good grades,Time management",,I think this is the correct order of priorities when it comes to your school,The classes that you take are important.
achieving academic goals,"Getting good grades,Career preparation",,because im set,no education no job
